recipe_name,ingredients,cuisine,calories,rating,instructions,difficulty
Chicken Fried Rice,chicken rice egg soy sauce garlic carrot peas,Asian,450,4.5,Heat oil in wok over high heat | Scramble eggs and set aside | Stir-fry diced 200g chicken until golden | Add 3 cloves garlic and cook for 30 seconds |Toss in 200g rice and break up clumps | Add soy sauce and mix well | Stir in carrots and 50g peas | Add eggs back and combine | Meal is ready to serve while hot |,medium
Spaghetti Carbonara,pasta egg bacon cheese black pepper,Italian,600,4.8,Cook 200g pasta in salted boiling water until al dente | Fry bacon until crispy and set aside | Beat eggs with grated 50g cheese and black 1/2 tsp pepper | Drain pasta and reserve pasta water | Toss hot pasta with bacon and remove from heat | Quickly mix in 2 egg mixture while tossing | Add pasta water if needed for creaminess | Serve immediately with extra cheese,medium
Greek Salad,cucumber tomato feta cheese olive oil oregano,Mediterranean,200,4.2,Chop cucumbers and tomatoes into chunks | Crumble feta 50g cheese over vegetables | Add sliced olives to the bowl | Drizzle with olive 2 tbsp oil | Sprinkle dried 1 tsp oregano on top | Toss gently to combine | Serve chilled,easy
Chicken Curry,chicken curry powder coconut milk onion rice,Indian,550,4.7,Heat oil and sauté diced onions until golden | Add 200g chicken pieces and brown on all sides | Stir in curry powder and cook for 1 minute | Pour in coconut 200ml milk and bring to simmer | Cover and cook for 20 minutes until chicken is tender | Adjust seasoning with salt | Serve over steamed 200g rice,medium
Beef Tacos,ground beef taco seasoning tortillas lettuce tomato cheese,Mexican,400,4.6,Brown ground 200g beef in a pan over medium heat | Drain excess fat from the beef | Add taco seasoning and water and simmer | Warm tortillas in microwave or pan | Fill tortillas with seasoned beef | Top with shredded 100g lettuce and diced tomatoes | Add shredded 50g cheese on top | Fold and serve,medium
Lentil Soup,lentils vegetable broth carrot celery onion garlic,Middle Eastern,300,4.1, Rinse 100g lentils under cold water | sauté diced 1 medium onion and 3 cloves garlic in oil | Add chopped carrots and 2 stalks celery and cook | Pour in vegetable 500ml broth and add lentils | Bring to boil then reduce to simmer | Cook for 25-30 minutes until lentils are tender | Season with salt and pepper | Serve hot,medium
Margherita Pizza,pizza dough tomato sauce mozzarella basil olive oil,Italian,700,4.9, Preheat oven to 475°F (245°C) | Roll out pizza dough on floured surface | Spread 2 medium tomato sauce evenly leaving border | Tear 100g mozzarella and distribute on pizza | Drizzle with olive 2 tbsp oil | Bake for 12-15 minutes until crust is golden | Add fresh 2 tbsp fresh basil leaves after baking | Slice and serve,medium
Sushi Rolls,rice seaweed salmon avocado soy sauce wasabi,Japanese,350,4.3,Cook 200g rice and let cool with rice vinegar | Place nori sheet on bamboo mat | Spread rice evenly on nori leaving border | Place salmon and avocado in center | Roll tightly using bamboo mat | Slice into 8 pieces with wet knife | Serve with soy sauce and wasabi,hard
Pancakes,flour egg milk sugar baking powder butter,American,300,4.4,Mix 100g flour | 1 tbsp sugar | and baking powder in bowl | Whisk 2 egg and 200ml milk together | Combine wet and dry ingredients until just mixed | Heat 2 tbsp butter in pan over medium heat | Pour batter to form circles | Flip when bubbles appear on surface | Cook until golden on both sides | Serve with syrup and butter,easy
Fish and Chips,cod potato flour egg oil malt vinegar,British,650,4, Cut cod into thick strips | Mix 100g flour | salt | and pepper for coating | Dip fish in beaten 2 egg then coat with flour | Deep fry fish until golden and crispy | Cut potatoes into thick chips | Fry chips until golden brown | Drain on paper towels | Serve with malt 1 tbsp vinegar,medium
Falafel Wrap,chickpeas herbs spices pita bread tahini sauce,Middle Eastern,400,4.5,Blend 150g chickpeas/herbs and spices in food processor | Form mixture into small balls | Deep fry falafel until golden brown | Warm pita 2 slices bread in oven | Spread tahini sauce inside pita | Add falafel balls to pita | Top with vegetables | Wrap and serve,medium
Paella,rice saffron chicken shrimp mussels peas bell pepper,Spanish,500,4.6, Heat oil in large paella pan | sauté 200g chicken pieces until golden | Add bell peppers and 50g peas | Stir in 200g rice and coat with oil | Add saffron to broth and pour over rice | Arrange 150g shrimp and mussels on top | Simmer without stirring for 20 minutes | Let rest for 5 minutes before serving,hard
Chocolate Cake,flour sugar cocoa powder egg butter milk,Dessert,480,5, Preheat oven to 350°F (175°C) | Mix 100g flour | 1 tbsp sugar | and cocoa powder | Beat eggs with melted 2 tbsp butter and 200ml milk | Combine wet and dry ingredients | Pour batter into greased cake pan | Bake for 30-35 minutes until toothpick comes clean | Let cool completely | Frost and serve,easy
Ratatouille,eggplant zucchini tomato onion bell pepper garlic herbs,French,250,4.2,Slice 1 medium eggplant | 1 medium zucchini | and tomatoes thinly | SautÃ© diced 1 medium onion and bell 1/2 tsp pepper in olive oil | Add minced 3 cloves garlic and cook briefly | Arrange sliced vegetables in baking dish | Drizzle with olive oil and herbs | Bake at 375°F for 45 minutes | Serve hot or at room temperature,medium
Pho,beef broth rice noodles beef sirloin cilantro basil lime,Vietnamese,420,4.8, Simmer  200g beef 500ml broth with ginger and star anise | Cook 200g rice 200g noodles according to package | Slice beef sirloin very thinly | Place noodles in serving bowl | Add raw beef slices on top | Pour hot broth over to cook beef | Garnish with 2 tbsp fresh cilantro | 2 tbsp fresh basil | and lime | Serve immediately,medium
Chili Con Carne,ground beef beans tomato onion chili powder cumin,American,520,4.3,Brown ground 200g beef in large pot | Add diced 1 medium onion and cook until soft | Stir in 1-2 chili powder and 1 tsp cumin | Add crushed tomatoes and 150g beans | Bring to boil then reduce heat | Simmer for 30 minutes stirring occasionally | Adjust seasoning to taste | Serve with rice or cornbread,medium
Pad Thai,rice noodles shrimp tofu peanuts lime chili sauce,Thai,470,4.7,Soak 200g rice 200g noodles in warm water | Heat oil in wok over high heat | Stir-fry 150g shrimp and 200g tofu until cooked | Push to side and scramble egg | Add drained noodles and sauce | Toss everything together | Add peanuts and lime juice | Garnish with bean sprouts and serve,medium
French Toast,bread egg milk cinnamon vanilla sugar butter,French/American,350,4.4, Whisk eggs | 200ml milk | cinnamon | and vanilla | Dip 2 slices bread slices in 2 egg mixture | Melt 2 tbsp butter in pan over medium heat | Fry bread until golden on both sides | Sprinkle with 1 tbsp sugar while cooking | Serve with syrup and butter | Top with fresh berries if desired,easy
Goulash,beef onion paprika tomato potato carrot,Hungarian,580,4.5,Brown 200g beef chunks in oil | Add diced 1 medium onion and cook until soft | Stir in 1 tsp paprika and cook briefly | Add diced tomatoes and potatoes | Pour in beef broth to cover | Add chopped carrots | Simmer for 90 minutes until beef is tender | Serve with crusty bread,medium
Tzatziki,greek yogurt cucumber garlic olive oil dill lemon juice,Greek,150,4.1,Grate 1 cucumber and squeeze out excess water | Mix Greek 100g yogurt in bowl | Add minced 3 cloves garlic to yogurt | Stir in grated cucumber | Add olive 2 tbsp oil and dill | Squeeze in lemon juice | Season with salt and mix well | Chill before serving,medium
Butter Chicken,chicken tomato cream butter garam masala ginger,Indian,600,4.8,Marinate 200g chicken in yogurt and spices | Grill or pan-fry chicken pieces | Make sauce with tomatoes | 100ml cream | and 2 tbsp butter | Add garam masala and 1 tbsp minced ginger to sauce | Simmer sauce until thickened | Add cooked chicken to sauce | Cook together for 10 minutes | Serve with rice or naan,medium
